DATE,LNU01374597
2008-06-01,21.7
2008-07-01,23
2008-08-01,23.1
2008-09-01,23.6
2008-10-01,23.1
2008-11-01,23.1
2008-12-01,23
2009-01-01,23.1
2009-02-01,23
2009-03-01,22.8
2009-04-01,22.8
2009-05-01,22.9
2009-06-01,22.6
2009-07-01,23
2009-08-01,22.2
2009-09-01,22
2009-10-01,21.7
2009-11-01,21.5
2009-12-01,21.6
2010-01-01,21.8
2010-02-01,21.9
2010-03-01,22.5
2010-04-01,22.2
2010-05-01,22.3
2010-06-01,21.7
2010-07-01,21.5
2010-08-01,22
2010-09-01,21.6
2010-10-01,21.4
2010-11-01,21.5
2010-12-01,21
2011-01-01,20.1
2011-02-01,20.6
2011-03-01,21
2011-04-01,20.6
2011-05-01,21.1
2011-06-01,21.3
2011-07-01,21.2
2011-08-01,21
2011-09-01,21.1
2011-10-01,21.3
2011-11-01,20.8
2011-12-01,20.7
2012-01-01,20
2012-02-01,19.9
2012-03-01,20.1
2012-04-01,20.3
2012-05-01,20.7
2012-06-01,20.5
2012-07-01,20.7
2012-08-01,20.9
2012-09-01,21.1
2012-10-01,21.5
2012-11-01,20.7
2012-12-01,20.5
2013-01-01,20.8
2013-02-01,20.7
2013-03-01,20.7
2013-04-01,20.7
2013-05-01,20.7
2013-06-01,20.2
2013-07-01,20.3
2013-08-01,20.5
2013-09-01,20.9
2013-10-01,20
2013-11-01,19.6
2013-12-01,18.7
2014-01-01,18.2
2014-02-01,19.1
2014-03-01,19.5
2014-04-01,19.1
2014-05-01,19.5
2014-06-01,19.3
2014-07-01,19.4
2014-08-01,19.8
2014-09-01,20.1
2014-10-01,20
2014-11-01,19.7
2014-12-01,20.3
2015-01-01,19.6
2015-02-01,19.8
2015-03-01,19.8
2015-04-01,19.3
2015-05-01,19.8
2015-06-01,20
2015-07-01,19.8
2015-08-01,19.5
2015-09-01,19.1
2015-10-01,19.4
2015-11-01,19.2
2015-12-01,19.2
2016-01-01,19.5
2016-02-01,19.5
2016-03-01,19.9
2016-04-01,20.4
2016-05-01,20.5
2016-06-01,20.6
2016-07-01,20.4
2016-08-01,19.8
2016-09-01,19.8
2016-10-01,20
2016-11-01,20
2016-12-01,20.1
2017-01-01,19.5
2017-02-01,20.4
2017-03-01,20.4
2017-04-01,20.1
2017-05-01,20.6
2017-06-01,20.7
2017-07-01,20.8
2017-08-01,20.5
2017-09-01,21.2
2017-10-01,21
2017-11-01,20.8
2017-12-01,20.9
2018-01-01,20.4
2018-02-01,20.7
2018-03-01,21.5
2018-04-01,20.9
2018-05-01,20.1
2018-06-01,20.2
2018-07-01,20.2
2018-08-01,20.8
2018-09-01,21.4
2018-10-01,21.5
2018-11-01,21.1
2018-12-01,20.7
2019-01-01,20.5
2019-02-01,20.9
2019-03-01,21.5
2019-04-01,20.7
2019-05-01,20.6
2019-06-01,20.9
2019-07-01,20.8
2019-08-01,21.3
2019-09-01,20.6
2019-10-01,20.6
2019-11-01,20.7
2019-12-01,20.5
2020-01-01,20.4
2020-02-01,20.7
2020-03-01,21.0
2020-04-01,19.8
2020-05-01,20.4
2020-06-01,21.0
2020-07-01,20.2
2020-08-01,20.6
2020-09-01,20.3
2020-10-01,20.6
2020-11-01,20.4
2020-12-01,20.0
2021-01-01,19.6
2021-02-01,19.9
2021-03-01,20.2
2021-04-01,20.3
2021-05-01,20.6
2021-06-01,21.3
2021-07-01,21.3
2021-08-01,21.6
2021-09-01,22.3
2021-10-01,22.4
2021-11-01,23.3
2021-12-01,22.3
2022-01-01,22.8
2022-02-01,22.6
2022-03-01,23.1
2022-04-01,23.1
2022-05-01,22.9
2022-06-01,23.1
2022-07-01,22.6
2022-08-01,22.5
2022-09-01,23.2
2022-10-01,23.8
2022-11-01,23.7
2022-12-01,23.6
2023-01-01,24.1
2023-02-01,23.9
2023-03-01,23.9
2023-04-01,23.0
2023-05-01,24.3
2023-06-01,24.0
2023-07-01,24.6
2023-08-01,24.9
2023-09-01,24.2
2023-10-01,24.4
2023-11-01,24.8
2023-12-01,24.5
2024-01-01,24.5
2024-02-01,24.4
2024-03-01,24.5
2024-04-01,24.5
2024-05-01,25.0
