DATE,LNU02376940
2008-06-01,81
2008-07-01,81.2
2008-08-01,80.6
2008-09-01,79.7
2008-10-01,79.4
2008-11-01,78.6
2008-12-01,77.4
2009-01-01,75.7
2009-02-01,75.3
2009-03-01,74.9
2009-04-01,75.5
2009-05-01,75.4
2009-06-01,76.1
2009-07-01,76.3
2009-08-01,75.9
2009-09-01,74.8
2009-10-01,74.7
2009-11-01,74.1
2009-12-01,73.4
2010-01-01,72.4
2010-02-01,72.6
2010-03-01,73.2
2010-04-01,74.4
2010-05-01,74.7
2010-06-01,75.2
2010-07-01,75.8
2010-08-01,75.4
2010-09-01,74.7
2010-10-01,74.7
2010-11-01,74.2
2010-12-01,73.9
2011-01-01,73
2011-02-01,73.5
2011-03-01,74
2011-04-01,74.4
2011-05-01,75.1
2011-06-01,75.5
2011-07-01,75.7
2011-08-01,75.8
2011-09-01,75.3
2011-10-01,75.2
2011-11-01,75.6
2011-12-01,75.2
2012-01-01,74.2
2012-02-01,74.5
2012-03-01,74.8
2012-04-01,75.4
2012-05-01,75.8
2012-06-01,76.6
2012-07-01,77
2012-08-01,76.3
2012-09-01,76.3
2012-10-01,76.6
2012-11-01,76.2
2012-12-01,75.9
2013-01-01,74.9
2013-02-01,75.1
2013-03-01,75.4
2013-04-01,75.8
2013-05-01,76.2
2013-06-01,77
2013-07-01,77.3
2013-08-01,76.8
2013-09-01,76.4
2013-10-01,76.2
2013-11-01,76.4
2013-12-01,76.2
2014-01-01,75.3
2014-02-01,75.3
2014-03-01,76.4
2014-04-01,76.7
2014-05-01,77.2
2014-06-01,78.3
2014-07-01,78.8
2014-08-01,78.2
2014-09-01,78
2014-10-01,78.2
2014-11-01,77.7
2014-12-01,77.3
2015-01-01,76.5
2015-02-01,76.8
2015-03-01,77.2
2015-04-01,77.9
2015-05-01,78.2
2015-06-01,78.6
2015-07-01,79
2015-08-01,78.7
2015-09-01,78.2
2015-10-01,78.2
2015-11-01,77.9
2015-12-01,77.8
2016-01-01,77.2
2016-02-01,77.7
2016-03-01,77.9
2016-04-01,78.2
2016-05-01,78.6
2016-06-01,79.5
2016-07-01,79.7
2016-08-01,79.4
2016-09-01,78.8
2016-10-01,78.7
2016-11-01,78.6
2016-12-01,78.2
2017-01-01,77.8
2017-02-01,78
2017-03-01,78.4
2017-04-01,79.2
2017-05-01,79.4
2017-06-01,80
2017-07-01,80.4
2017-08-01,79.6
2017-09-01,79.5
2017-10-01,79.2
2017-11-01,78.8
2017-12-01,78.6
2018-01-01,78.1
2018-02-01,78.9
2018-03-01,79.1
2018-04-01,79.5
2018-05-01,80.0
2018-06-01,80.3
2018-07-01,80.7
2018-08-01,79.9
2018-09-01,79.4
2018-10-01,79.6
2018-11-01,79.7
2018-12-01,79.1
2019-01-01,78.8
2019-02-01,79.2
2019-03-01,79.4
2019-04-01,79.6
2019-05-01,80.0
2019-06-01,80.8
2019-07-01,81.0
2019-08-01,80.4
2019-09-01,80.2
2019-10-01,80.1
2019-11-01,80.2
2019-12-01,79.9
2020-01-01,79.3
2020-02-01,79.7
2020-03-01,78.5
2020-04-01,69.0
2020-05-01,71.1
2020-06-01,73.3
2020-07-01,74.1
2020-08-01,75.4
2020-09-01,75.5
2020-10-01,76.4
2020-11-01,76.1
2020-12-01,75.8
2021-01-01,75.6
2021-02-01,76.1
2021-03-01,76.3
2021-04-01,77.0
2021-05-01,77.4
2021-06-01,78.1
2021-07-01,79.1
2021-08-01,78.5
2021-09-01,78.3
2021-10-01,78.8
2021-11-01,79.0
2021-12-01,78.8
2022-01-01,77.9
2022-02-01,78.9
2022-03-01,79.4
2022-04-01,79.5
2022-05-01,79.9
2022-06-01,80.4
2022-07-01,80.6
2022-08-01,80.0
2022-09-01,80.1
2022-10-01,80.0
2022-11-01,79.8
2022-12-01,79.4
2023-01-01,78.3
2023-02-01,78.7
2023-03-01,79.6
2023-04-01,79.8
2023-05-01,80.0
2023-06-01,80.6
2023-07-01,80.7
2023-08-01,80.2
2023-09-01,79.9
2023-10-01,79.6
2023-11-01,79.9
2023-12-01,79.2
2024-01-01,78.5
2024-02-01,79.1
2024-03-01,79.9
2024-04-01,79.7
2024-05-01,79.5
